run, id, cycles, Branch direction mis, Branch target mis, Correct
18, 15, 77277, 313, 34, TRUE

18, 16, 74970, 313, 67, TRUE

18, 17, 74588, 313, 34, TRUE

18, 18, 74970, 313, 67, TRUE

18, 19, 77277, 313, 34, TRUE

19, 0, 388466, 329, 58, TRUE

19, 1, 74651, 318, 52, TRUE

19, 2, 74911, 315, 46, TRUE

19, 3, 77309, 313, 45, TRUE

19, 4, 74901, 313, 44, TRUE

19, 5, 74620, 313, 45, TRUE

19, 6, 74901, 313, 44, TRUE

19, 7, 77309, 313, 45, TRUE

19, 8, 74901, 313, 44, TRUE

19, 9, 74620, 313, 45, TRUE

19, 10, 74901, 313, 44, TRUE

19, 11, 77309, 313, 45, TRUE

19, 12, 74901, 313, 44, TRUE

19, 13, 74620, 313, 45, TRUE

19, 14, 74901, 313, 44, TRUE

19, 15, 77309, 313, 45, TRUE

19, 16, 74901, 313, 44, TRUE

19, 17, 74620, 313, 45, TRUE

19, 18, 74901, 313, 44, TRUE

19, 19, 77309, 313, 45, TRUE

20, 0, 388466, 329, 58, TRUE

20, 1, 74651, 318, 52, TRUE

20, 2, 74911, 315, 46, TRUE

20, 3, 77309, 313, 45, TRUE

20, 4, 74901, 313, 44, TRUE

20, 5, 74620, 313, 45, TRUE

20, 6, 74901, 313, 44, TRUE

20, 7, 77309, 313, 45, TRUE

20, 8, 74901, 313, 44, TRUE

20, 9, 74620, 313, 45, TRUE

20, 10, 74901, 313, 44, TRUE

20, 11, 77309, 313, 45, TRUE

20, 12, 74901, 313, 44, TRUE

20, 13, 74620, 313, 45, TRUE

20, 14, 74901, 313, 44, TRUE

20, 15, 77309, 313, 45, TRUE

20, 16, 74901, 313, 44, TRUE

20, 17, 74620, 313, 45, TRUE

20, 18, 74901, 313, 44, TRUE

20, 19, 77309, 313, 45, TRUE

21, 0, 388533, 330, 82, TRUE

21, 1, 74748, 318, 81, TRUE

21, 2, 74920, 315, 48, TRUE

21, 3, 77280, 313, 35, TRUE

21, 4, 74970, 313, 67, TRUE

21, 5, 74588, 313, 34, TRUE

21, 6, 74970, 313, 67, TRUE

21, 7, 77277, 313, 34, TRUE

21, 8, 74970, 313, 67, TRUE

21, 9, 74588, 313, 34, TRUE

21, 10, 74970, 313, 67, TRUE

21, 11, 77277, 313, 34, TRUE

21, 12, 74970, 313, 67, TRUE

21, 13, 74588, 313, 34, TRUE

21, 14, 74970, 313, 67, TRUE

21, 15, 77277, 313, 34, TRUE

21, 16, 74970, 313, 67, TRUE

21, 17, 74588, 313, 34, TRUE

21, 18, 74970, 313, 67, TRUE

21, 19, 77277, 313, 34, TRUE

22, 0, 388532, 328, 82, TRUE

22, 1, 74678, 319, 58, TRUE

22, 2, 74932, 315, 54, TRUE

22, 3, 77351, 313, 61, TRUE

22, 4, 74922, 313, 53, TRUE

22, 5, 74662, 313, 61, TRUE

22, 6, 74922, 313, 53, TRUE

22, 7, 77351, 313, 61, TRUE

22, 8, 74922, 313, 53, TRUE

22, 9, 74662, 313, 61, TRUE

22, 10, 74922, 313, 53, TRUE

22, 11, 77351, 313, 61, TRUE

22, 12, 74922, 313, 53, TRUE

22, 13, 74662, 313, 61, TRUE

22, 14, 74922, 313, 53, TRUE

22, 15, 77351, 313, 61, TRUE

22, 16, 74922, 313, 53, TRUE

22, 17, 74662, 313, 61, TRUE

22, 18, 74922, 313, 53, TRUE

22, 19, 77351, 313, 61, TRUE

23, 0, 388464, 328, 58, TRUE

23, 1, 74651, 318, 52, TRUE

23, 2, 74911, 315, 46, TRUE

23, 3, 77309, 313, 45, TRUE

23, 4, 74901, 313, 44, TRUE

23, 5, 74620, 313, 45, TRUE

23, 6, 74901, 313, 44, TRUE

23, 7, 77309, 313, 45, TRUE

23, 8, 74901, 313, 44, TRUE

23, 9, 74620, 313, 45, TRUE

23, 10, 74901, 313, 44, TRUE

23, 11, 77309, 313, 45, TRUE

23, 12, 74901, 313, 44, TRUE

23, 13, 74620, 313, 45, TRUE

23, 14, 74901, 313, 44, TRUE

23, 15, 77309, 313, 45, TRUE

23, 16, 74901, 313, 44, TRUE

23, 17, 74620, 313, 45, TRUE

23, 18, 74901, 313, 44, TRUE

23, 19, 77309, 313, 45, TRUE
