run, id, cycles, Branch predicistion mis, Branch target mis, Correct
23, 18, 92605, 621, 28, false

23, 19, 92601, 621, 28, false

24, 0, 311326, 643, 29, true

24, 1, 92619, 628, 25, true

24, 2, 92597, 622, 26, true

24, 3, 92604, 624, 28, true

24, 4, 92600, 619, 28, true

24, 5, 92593, 619, 29, true

24, 6, 92599, 621, 28, true

24, 7, 92592, 619, 29, true

24, 8, 92587, 619, 26, true

24, 9, 92599, 621, 28, true

24, 10, 92592, 619, 29, true

24, 11, 92587, 619, 26, true

24, 12, 92599, 621, 28, true

24, 13, 92592, 619, 29, true

24, 14, 92587, 619, 26, true

24, 15, 92599, 621, 28, true

24, 16, 92592, 619, 29, true

24, 17, 92587, 619, 26, true

24, 18, 92599, 621, 28, true

24, 19, 92592, 619, 29, true

25, 0, 308923, 645, 28, false

25, 1, 92611, 626, 24, false

25, 2, 92605, 623, 26, false

25, 3, 92594, 624, 24, false

25, 4, 92596, 621, 29, false

25, 5, 92601, 621, 28, false

25, 6, 92605, 621, 28, false

25, 7, 92601, 621, 28, false

25, 8, 92605, 621, 28, false

25, 9, 92601, 621, 28, false

25, 10, 92605, 621, 28, false

25, 11, 92601, 621, 28, false

25, 12, 92605, 621, 28, false

25, 13, 92601, 621, 28, false

25, 14, 92605, 621, 28, false

25, 15, 92601, 621, 28, false

25, 16, 92605, 621, 28, false

25, 17, 92601, 621, 28, false

25, 18, 92605, 621, 28, false

25, 19, 92601, 621, 28, false

26, 0, 311312, 645, 28, true

26, 1, 92612, 626, 24, true

26, 2, 92605, 623, 26, true

26, 3, 92594, 624, 24, true

26, 4, 92596, 621, 29, true

26, 5, 92600, 621, 29, true

26, 6, 92597, 621, 29, true

26, 7, 92598, 621, 29, true

26, 8, 92597, 621, 29, true

26, 9, 92598, 621, 29, true

26, 10, 92597, 621, 29, true

26, 11, 92598, 621, 29, true

26, 12, 92597, 621, 29, true

26, 13, 92598, 621, 29, true

26, 14, 92597, 621, 29, true

26, 15, 92598, 621, 29, true

26, 16, 92597, 621, 29, true

26, 17, 92598, 621, 29, true

26, 18, 92597, 621, 29, true

26, 19, 92598, 621, 29, true

27, 0, 308902, 644, 28, false

27, 1, 92611, 626, 24, false

27, 2, 92605, 623, 26, false

27, 3, 92594, 624, 24, false

27, 4, 92596, 621, 29, false

27, 5, 92601, 621, 28, false

27, 6, 92605, 621, 28, false

27, 7, 92601, 621, 28, false

27, 8, 92605, 621, 28, false

27, 9, 92601, 621, 28, false

27, 10, 92605, 621, 28, false

27, 11, 92601, 621, 28, false

27, 12, 92605, 621, 28, false

27, 13, 92601, 621, 28, false

27, 14, 92605, 621, 28, false

27, 15, 92601, 621, 28, false

27, 16, 92605, 621, 28, false

27, 17, 92601, 621, 28, false

27, 18, 92605, 621, 28, false

27, 19, 92601, 621, 28, false

28, 0, 311317, 647, 28, true

28, 1, 92615, 627, 24, true

28, 2, 92605, 623, 26, true

28, 3, 92594, 624, 24, true

28, 4, 92596, 621, 29, true

28, 5, 92600, 621, 29, true

28, 6, 92597, 621, 29, true

28, 7, 92598, 621, 29, true

28, 8, 92597, 621, 29, true

28, 9, 92598, 621, 29, true

28, 10, 92597, 621, 29, true

28, 11, 92598, 621, 29, true

28, 12, 92597, 621, 29, true

28, 13, 92598, 621, 29, true

28, 14, 92597, 621, 29, true

28, 15, 92598, 621, 29, true

28, 16, 92597, 621, 29, true

28, 17, 92598, 621, 29, true

28, 18, 92597, 621, 29, true

28, 19, 92598, 621, 29, true

29, 0, 308930, 648, 28, true

29, 1, 92611, 626, 24, true

29, 2, 92602, 622, 26, true

29, 3, 92588, 622, 24, true

29, 4, 92590, 619, 29, true

29, 5, 92595, 619, 28, true

29, 6, 92599, 619, 28, true

29, 7, 92595, 619, 28, true

29, 8, 92599, 619, 28, true

29, 9, 92595, 619, 28, true

29, 10, 92599, 619, 28, true

29, 11, 92595, 619, 28, true

29, 12, 92599, 619, 28, true

29, 13, 92595, 619, 28, true

29, 14, 92599, 619, 28, true

29, 15, 92595, 619, 28, true

29, 16, 92599, 619, 28, true

29, 17, 92595, 619, 28, true

29, 18, 92599, 619, 28, true

29, 19, 92595, 619, 28, true

30, 0, 311335, 646, 29, true

30, 1, 92611, 626, 24, true

30, 2, 92605, 623, 26, true

30, 3, 92594, 624, 24, true

30, 4, 92596, 621, 29, true

30, 5, 92600, 621, 29, true

30, 6, 92597, 621, 29, true

30, 7, 92598, 621, 29, true

30, 8, 92597, 621, 29, true

30, 9, 92598, 621, 29, true

30, 10, 92597, 621, 29, true

30, 11, 92598, 621, 29, true

30, 12, 92597, 621, 29, true

30, 13, 92598, 621, 29, true

30, 14, 92597, 621, 29, true

30, 15, 92598, 621, 29, true

30, 16, 92597, 621, 29, true

30, 17, 92598, 621, 29, true

30, 18, 92597, 621, 29, true

30, 19, 92598, 621, 29, true

31, 0, 308905, 646, 27, false

31, 1, 92619, 630, 25, false

31, 2, 92609, 626, 26, false

31, 3, 92606, 625, 28, false

31, 4, 92592, 619, 29, false

31, 5, 92602, 619, 28, false

31, 6, 92592, 619, 29, false

31, 7, 92593, 621, 26, false

31, 8, 92595, 619, 28, false

31, 9, 92605, 621, 28, false

31, 10, 92592, 619, 29, false

31, 11, 92599, 621, 29, false

31, 12, 92601, 619, 28, false

31, 13, 92592, 619, 29, false

31, 14, 92593, 621, 26, false

31, 15, 92595, 619, 28, false

31, 16, 92605, 621, 28, false

31, 17, 92592, 619, 29, false

31, 18, 92602, 621, 28, false

31, 19, 92595, 619, 28, false

32, 0, 311324, 649, 28, false

32, 1, 92628, 630, 26, false

32, 2, 92609, 623, 26, false

32, 3, 92601, 623, 28, false

32, 4, 92594, 620, 28, false

32, 5, 92595, 620, 29, false

32, 6, 92594, 620, 28, false

32, 7, 92595, 620, 29, false

32, 8, 92594, 620, 28, false

32, 9, 92595, 620, 29, false

32, 10, 92594, 620, 28, false

32, 11, 92595, 620, 29, false

32, 12, 92594, 620, 28, false

32, 13, 92595, 620, 29, false

32, 14, 92594, 620, 28, false

32, 15, 92595, 620, 29, false

32, 16, 92594, 620, 28, false

32, 17, 92595, 620, 29, false

32, 18, 92594, 620, 28, false

32, 19, 92595, 620, 29, false

33, 0, 313443, 646, 29, true

33, 1, 97417, 626, 27, true

33, 2, 97407, 622, 28, true

33, 3, 97408, 619, 28, true

33, 4, 92591, 619, 28, true

33, 5, 92598, 621, 29, true

33, 6, 92601, 619, 28, true

33, 7, 92593, 619, 29, true

33, 8, 92601, 619, 28, true

33, 9, 92593, 619, 29, true

33, 10, 92601, 619, 28, true

33, 11, 92593, 619, 29, true

33, 12, 92601, 619, 28, true

33, 13, 92593, 619, 29, true

33, 14, 92601, 619, 28, true

33, 15, 92593, 619, 29, true

33, 16, 92601, 619, 28, true

33, 17, 92593, 619, 29, true

33, 18, 92601, 619, 28, true

33, 19, 92593, 619, 29, true

34, 0, 311341, 648, 29, false

34, 1, 92625, 629, 26, false

34, 2, 92609, 623, 26, false

34, 3, 92601, 623, 28, false

34, 4, 92594, 620, 28, false

34, 5, 92595, 620, 29, false

34, 6, 92594, 620, 28, false

34, 7, 92595, 620, 29, false

34, 8, 92594, 620, 28, false

34, 9, 92595, 620, 29, false

34, 10, 92594, 620, 28, false

34, 11, 92595, 620, 29, false

34, 12, 92594, 620, 28, false

34, 13, 92595, 620, 29, false

34, 14, 92594, 620, 28, false

34, 15, 92595, 620, 29, false

34, 16, 92594, 620, 28, false

34, 17, 92595, 620, 29, false

34, 18, 92594, 620, 28, false

34, 19, 92595, 620, 29, false

35, 0, 308925, 646, 28, false

35, 1, 92623, 629, 25, false

35, 2, 92597, 622, 26, false

35, 3, 92604, 624, 28, false

35, 4, 92600, 619, 28, false

35, 5, 92593, 619, 29, false

35, 6, 92599, 621, 28, false

35, 7, 92595, 619, 28, false

35, 8, 92605, 621, 28, false

35, 9, 92592, 619, 29, false

35, 10, 92593, 621, 26, false

35, 11, 92595, 619, 28, false

35, 12, 92605, 621, 28, false

35, 13, 92592, 619, 29, false

35, 14, 92602, 621, 28, false

35, 15, 92595, 619, 28, false

35, 16, 92605, 621, 28, false

35, 17, 92592, 619, 29, false

35, 18, 92602, 621, 28, false

35, 19, 92595, 619, 28, false

36, 0, 311321, 649, 27, true

