run, id, cycles, Branch direction mis, Branch target mis, Correct
25, 15, 56067573, 264617, 52221, TRUE

25, 16, 56073309, 264615, 52007, TRUE

25, 17, 56058425, 264618, 52360, TRUE

25, 18, 56075141, 264616, 52361, TRUE

25, 19, 56104319, 264617, 52359, TRUE

26, 0, 57131621, 264616, 52218, TRUE

26, 1, 56224041, 264616, 52219, TRUE

26, 2, 56127541, 264616, 52359, TRUE

26, 3, 56112756, 264616, 52108, TRUE

26, 4, 56132153, 264616, 52107, TRUE

26, 5, 56080908, 264620, 52109, TRUE

26, 6, 56044196, 264617, 52151, TRUE

26, 7, 56101980, 264617, 52151, TRUE

26, 8, 56025087, 264616, 52219, TRUE

26, 9, 56102328, 264616, 52359, TRUE

26, 10, 56049230, 264618, 52360, TRUE

26, 11, 56094820, 264616, 52360, TRUE

26, 12, 56072790, 264616, 52220, TRUE

26, 13, 56096257, 264616, 52360, TRUE

26, 14, 56112658, 264617, 52358, TRUE

26, 15, 56067573, 264617, 52221, TRUE

26, 16, 56073309, 264615, 52007, TRUE

26, 17, 56058425, 264618, 52360, TRUE

26, 18, 56075141, 264616, 52361, TRUE

26, 19, 56104319, 264617, 52359, TRUE

27, 0, 57131500, 264615, 52194, TRUE

27, 1, 56224041, 264616, 52219, TRUE

27, 2, 56127541, 264616, 52359, TRUE

27, 3, 56112756, 264616, 52108, TRUE

27, 4, 56132153, 264616, 52107, TRUE

27, 5, 56080908, 264620, 52109, TRUE

27, 6, 56044196, 264617, 52151, TRUE

27, 7, 56101980, 264617, 52151, TRUE

27, 8, 56025087, 264616, 52219, TRUE

27, 9, 56102328, 264616, 52359, TRUE

27, 10, 56049230, 264618, 52360, TRUE

27, 11, 56094817, 264616, 52359, TRUE

27, 12, 56072790, 264616, 52220, TRUE

27, 13, 56096257, 264616, 52360, TRUE

27, 14, 56112658, 264617, 52358, TRUE

27, 15, 56067573, 264617, 52221, TRUE

27, 16, 56073309, 264615, 52007, TRUE

27, 17, 56058425, 264618, 52360, TRUE

27, 18, 56075141, 264616, 52361, TRUE

27, 19, 56104319, 264617, 52359, TRUE

28, 0, 57131078, 264613, 52096, TRUE

28, 1, 56223558, 264617, 52075, TRUE

28, 2, 56127541, 264616, 52359, TRUE

28, 3, 56112756, 264616, 52108, TRUE

28, 4, 56132153, 264616, 52107, TRUE

28, 5, 56080911, 264621, 52109, TRUE

28, 6, 56044196, 264617, 52151, TRUE

28, 7, 56101980, 264617, 52151, TRUE

28, 8, 56025087, 264616, 52219, TRUE

28, 9, 56102328, 264616, 52359, TRUE

28, 10, 56048731, 264618, 52220, TRUE

28, 11, 56094817, 264616, 52359, TRUE

28, 12, 56072790, 264616, 52220, TRUE

28, 13, 56096257, 264616, 52360, TRUE

28, 14, 56112658, 264617, 52358, TRUE

28, 15, 56067573, 264617, 52221, TRUE

28, 16, 56073309, 264615, 52007, TRUE

28, 17, 56058425, 264618, 52360, TRUE

